stk_code,sector,industry,mkt_cap,mkt_cap_gp
ASTC,Industrials,Aerospace,17310515.0,nano
ASTE,Industrials,Construction/Ag Equipment/Trucks,990262776.0,small
ASTI,Technology,Semiconductors,102810360.0,micro
ASTL,,,616896170.0,small
ASTLW,,,0.0,nano
ASTR,,,118995686.0,micro
ASTS,Consumer Discretionary,Telecommunications Equipment,281993540.0,micro
ASTSW,Consumer Discretionary,Telecommunications Equipment,0.0,nano
ASUR,Technology,EDP Services,169550831.0,micro
ASX,Technology,Semiconductors,14192376456.0,large
ASXC,Health Care,Medical/Dental Instruments,91230726.0,micro
ASYS,Technology,Semiconductors,112421237.0,micro
ATA,Finance,Business Services,75587798.0,micro
ATAI,Health Care,Biotechnology: Pharmaceutical Preparations,514213452.0,small
ATAK,Finance,Business Services,256792500.0,micro
ATAKR,Finance,Business Services,0.0,nano
ATAKU,Finance,Business Services,0.0,nano
ATAKW,Finance,Business Services,0.0,nano
ATAQ,Finance,Business Services,194644688.0,micro
ATAT,Consumer Discretionary,Hotels/Resorts,2188226406.0,medium
ATCO,Consumer Discretionary,Marine Transportation,4317332051.0,medium
ATCOL,Basic Materials,Precious Metals,0.0,nano
ATCX,Consumer Discretionary,Military/Government/Technical,205202528.0,micro
ATEC,Health Care,Medical/Dental Instruments,1103112402.0,small
ATEK,Industrials,Consumer Electronics/Appliances,353156300.0,small
ATEN,Technology,EDP Services,1309574541.0,small
ATER,,,82488030.0,micro
ATEX,Consumer Discretionary,Telecommunications Equipment,627753747.0,small
ATGE,Consumer Discretionary,Other Consumer Services,1671799213.0,small
ATHA,Health Care, Medicinal Chemicals and Botanical Products ,124080120.0,micro
ATHE,Health Care,Biotechnology: Pharmaceutical Preparations,13037237.0,nano
ATHM,Technology,EDP Services,3920773910.0,medium
ATHX,Health Care,Biotechnology: Pharmaceutical Preparations,15047492.0,nano
ATI,Industrials,Steel/Iron Ore,3917472689.0,medium
ATIF,Consumer Discretionary,Professional Services,14841452.0,nano
ATIP,Health Care,Managed Health Care,78755828.0,micro
ATKR,Technology,Electrical Products,4851299262.0,medium
ATLC,Finance,Finance: Consumer Services,398690142.0,small
ATLCL,Finance,Finance: Consumer Services,0.0,nano
ATLCP,Finance,Finance: Consumer Services,0.0,nano
ATLO,Finance,Major Banks,205740781.0,micro
ATNF,Health Care,Biotechnology: Pharmaceutical Preparations,7083320.0,nano
ATNFW,Health Care,Biotechnology: Pharmaceutical Preparations,0.0,nano
ATNI,Telecommunications,Telecommunications Equipment,668050392.0,small
ATNM,Health Care,Biotechnology: Pharmaceutical Preparations,280571199.0,micro
ATNX,Health Care,Biotechnology: Pharmaceutical Preparations,25642105.0,nano
ATO,Utilities,Oil/Gas Transmission,16674174164.0,large
ATOM,Technology,Semiconductors,179141490.0,micro
ATOS,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,77721879.0,micro
ATR,Health Care,Medical/Dental Instruments,7066341026.0,medium
ATRA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),368129240.0,small
ATRC,Health Care,Medical/Dental Instruments,2042647171.0,medium
ATRI,Health Care,Medical/Dental Instruments,1065097655.0,small
ATRO,Industrials,Military/Government/Technical,326215076.0,small
ATSG,Consumer Discretionary,Air Freight/Delivery Services,2009485609.0,medium
ATTO,Telecommunications,Telecommunications Equipment,67568649.0,micro
ATUS,Telecommunications,Telecommunications Equipment,1795940291.0,small
ATVI,Consumer Discretionary,Recreational Games/Products/Toys,60293454576.0,large
ATXG,Consumer Discretionary,Oil Refining/Marketing,42597415.0,nano
ATXI,Health Care, Medicinal Chemicals and Botanical Products ,6260846.0,nano
ATXS,Health Care,Biotechnology: Pharmaceutical Preparations,187736233.0,micro
ATY,,,100417076.0,micro
AU,Basic Materials,Precious Metals,8162730936.0,medium
AUB,Finance,Major Banks,2625362356.0,medium
AUBAP,Finance,Major Banks,0.0,nano
AUBN,Finance,Major Banks,79129804.0,micro
AUD,Consumer Discretionary,Broadcasting,36320981.0,nano
AUDC,Utilities,Telecommunications Equipment,564006019.0,small
AUGX,Technology,Computer Software: Prepackaged Software,43047035.0,nano
AUID,Technology,Computer Software: Prepackaged Software,19321131.0,nano
AUMN,Basic Materials,Precious Metals,46893838.0,nano
AUPH,Health Care,Pharmaceuticals and Biotechnology,663652313.0,small
AUR,Technology,EDP Services,1432032520.0,small
AURA,Health Care,Biotechnology: Pharmaceutical Preparations,445587940.0,small
AURC,Finance,Finance: Consumer Services,348198597.0,small
AURCU,Finance,Finance: Consumer Services,0.0,nano
AUROW,Technology,EDP Services,0.0,nano
AUST,,,11148270.0,nano
AUTL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),166772211.0,micro
AUUD,Technology,Computer Software: Prepackaged Software,14173543.0,nano
AUUDW,Technology,Computer Software: Prepackaged Software,0.0,nano
AUVI,,,12048158.0,nano
AUVIP,,,0.0,nano
AUY,,,5391226830.0,medium
AVA,Utilities,Power Generation,3177521983.0,medium
AVAC,Industrials,Consumer Electronics/Appliances,265768853.0,micro
AVAH,Health Care,Hospital/Nursing Management,164519051.0,micro
AVAL,Finance,Commercial Banks,2766114924.0,medium
AVAV,Industrials,Aerospace,2216107966.0,medium
AVB,Real Estate,Real Estate Investment Trusts,24073536160.0,large
AVCT,Technology,EDP Services,20028547.0,nano
AVCTW,Technology,EDP Services,0.0,nano
AVD,Industrials,Agricultural Chemicals,655233038.0,small
AVDL,Health Care,Biotechnology: Pharmaceutical Preparations,457162617.0,small
AVDX,Technology,EDP Services,1873787707.0,small
AVEO,Health Care,Biotechnology: Pharmaceutical Preparations,517970592.0,small
AVGO,Technology,Semiconductors,232652671441.0,mega
AVGR,Health Care,Medical/Dental Instruments,8848416.0,nano
AVHI,Industrials,Consumer Electronics/Appliances,127500000.0,micro
AVHIW,Industrials,Consumer Electronics/Appliances,0.0,nano
AVID,Technology,Computer Software: Prepackaged Software,1168739975.0,small
AVIR,Health Care, Medicinal Chemicals and Botanical Products ,367298488.0,small
AVK,Finance,Trusts Except Educational Religious and Charitable,408898350.0,small
AVNS,Health Care,Industrial Specialties,1265199914.0,small
AVNT,Industrials,Major Chemicals,3156649961.0,medium
AVNW,Telecommunications,Telecommunications Equipment,354432613.0,small
AVO,Consumer Discretionary,Specialty Foods,1062082986.0,small
AVPT,Technology,EDP Services,856819670.0,small
AVPTW,Technology,EDP Services,0.0,nano
AVRO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),34804777.0,nano
AVT,Technology,Electronic Components,3993814841.0,medium
AVTE,Health Care,Biotechnology: Pharmaceutical Preparations,632842478.0,small
AVTR,Industrials,Industrial Specialties,14272907444.0,large
AVTX,Health Care,Biotechnology: Pharmaceutical Preparations,54413521.0,micro
AVXL,Health Care,Biotechnology: Commercial Physical & Biological Resarch,688402826.0,small
AVY,Miscellaneous,Office Equipment/Supplies/Services,14724215196.0,large
AVYA,Technology,Retail: Computer Software & Peripheral Equipment,51152858.0,micro
